,TAP,LINES
1168,1728,856203 856103 936103 917103 916102 936203
1169,1729,530113 530213
1170,1730,13109 965106 13209
1171,1731,2114 2214
1172,1732,35104 35204
1173,1733,10204 10104
1174,1735,936103 936203
1175,1736,2114 2214
1176,1737,11110 11210
1177,1738,120116 3101 120112
1178,1739,3201 120216 120212
1179,1741,923204 923104
1180,1742,965106
1181,1744,856203 856103 936103 917103 916102 936203
1182,1747,917104 856203 916103 856103 936103 917103 916102 936203
1183,1748,60108 235201
1184,1749,35104 35204
1185,1750,856203 816202 816102 856103
1186,1751,44106 44205 44206 44105
1187,1753,856203 856103
1188,1754,13109 965106 13209
1189,1756,851102 851202
1190,1757,923204 923104
1191,1760,2114 2214
1192,1761,83202 83102
1193,1762,955202 917104 916103 955102 917103 916102
1194,1764,398204 398104
1195,1767,965106
1196,1768,856203 856103
1197,1769,3201 120216 120212
1198,1770,120116 3101 120112
1199,1771,11110 11210
1200,1772,83202
1201,1773,965106
1202,1774,855204 855104
1203,1775,7212 7112 7211 215201 7210 7111 215101 7110
1204,1776,28203 28103
1205,1778,923204 923104
1206,1779,936103 936203
1207,1780,530113 530213
1208,1781,2214 7211 235201 7210 110101 215101 992109 30211 290201 923204 7111 2114 288101 288201 901104 215201 235101 7212 7110 923104 110201 7112 901204 50211 50111 30111 290101
1209,1783,855204
1210,1784,965106
1211,1786,992109
1212,1787,11110 11210
1213,1788,120116 3101 120112
1214,1789,3201 120216 120212
1215,1790,44206 105204 105104 44205 44105 44106 88101
1216,1793,83202 83102
1217,1794,916102 917103
1218,1795,851102 851202
1219,1798,955202 917104 916103 955102 917103 916102
1220,1799,855204 855104
1221,1801,399201 399101
1222,1802,2114 2214
1223,1805,855204 856203 855104 856103
1224,1806,923204 923104 28203 28103
1225,1807,13109 965106 13209
1226,1808,11110 11210
1227,1809,936103 936203
1228,1810,992109 923104 923204
1229,1814,83202
1230,1815,923204 923104
1231,1817,965106
1232,1818,916102 917103
1233,1820,83202
1234,1823,955202 917104 916103 955102 917103 916102
1235,1824,992109 923104 923204
1236,1825,83102
1237,1826,3201 120216 120212
1238,1827,290101 288101 290201 288201
1239,1828,83202
1240,1829,856203 855104 856103
1241,1830,44106 44205 44206 44105
1242,1831,150219 11210 30211 50211
1243,1832,11110
1244,1833,50111 50211
1245,1834,856203 851102 851202 856103
1246,1835,916103 916102 917104 917103
1247,1837,28203 28103
1248,1838,84204 84104
1249,1840,965106
1250,1841,520112 520212
1251,1842,936103 936203
1252,1844,84204 28203 28103 84104
1253,1845,290201 288201
1254,1846,83102
1255,1847,83202
1256,1849,923204 992109 923104 288101 290101
1257,1850,84204 84104
1258,1851,530113 530213
1259,1852,25212 235201 25112
1260,1853,2114 2214
1261,1854,13109 13209
1262,1855,120116 3101 120112
1263,1856,3201 120216 120212
1264,1857,955202 917104 916103 955102 917103 916102
1265,1859,923204 992109 923104 288101 290101
1266,1860,288101 288201 923104 290201 923204 290101
1267,1862,11210 30211 50211 11217 150219 11110
1268,1863,11110
1269,1864,916102 917103
1270,1866,83202
1271,1870,120116 3101 120112
1272,1872,2214 7112 992109 235201 235101 2114 7111 215101 7110
1273,1874,856203 856103
1274,1875,110201 288201 7211 215201 20220 20214 7210 290201 7212
1275,1876,288101 20120 5110 30211 110101 923204 20114 290101 929210
1276,1878,150119 110201 2214 7211 901204 7210 50111 30111 7212 11110
1277,1880,120212 3201 120216 288101 290101
1278,1884,520112 530113 520212 530213
1279,1885,4205 936103 4105 936203
1280,1886,83202
1281,1887,304108 304109 304107 304208 304209 304207
1282,1888,3201 120216 120212
1283,1889,520112 520212 510219 510119
1284,1890,20120 5110 30211 50211 110101 923204 20114 5210 929210
1285,1891,520112 520212 510219 510119
1286,1895,520112 520212 510219 510119
1287,1896,2214 2114
1288,1897,2214 2114
1289,1898,520112 520212 510219 510119
1290,1899,84204 84104
1291,1900,13109 13209
1292,1901,304108 304109 304107 304208 304209 304207
1293,1903,992109
1294,1904,288101 288201 992109 923104 290201 923204 290101
1295,1905,288101 288201 992109 215201 235201 235101 83102 290201 923204 83202 290101 215101 923104
1296,1906,288101 288201 992109 215201 235201 235101 290201 923204 290101 215101 923104
1297,1908,2214 7211 235201 7210 110101 215101 992109 30211 290201 923204 7111 150219 2114 11210 150119 288101 288201 901104 215201 235101 11217 7212 7110 923104 110201 7112 901204 50211 50111 30111 290101
1298,1912,31112 201103 202106 979102 31212 204101
1299,1914,816202 816102
1300,1915,2214 2114
1301,1916,2214 2114
1302,1917,916102 917103
1303,1918,916102 917103
1304,1919,916102 917103
1305,1920,84204 84104
1306,1921,707213 709214 707113 709114
1307,1922,120116 3101 120112
1308,1924,955202 917104 916103 955102 917103 916102
1309,1925,4205 4105
1310,1927,936103 851102 936203
1311,1928,851202
1312,1929,851102 856203 856103 936103 936203 851202
1313,1930,11110 150119
1314,1932,901204 929210 5210
1315,1933,5110 901104 929110
1316,1936,916102 917103
1317,1939,150119 110201 2214 288101 7211 288201 992109 215201 235201 235101 290201 7210 923204 50111 30111 7212 290101 11110 215101 901204 923104
1318,1943,856203 856103
1319,1944,530113 530213
1320,1945,901204 929210 5210
1321,1946,11110 11210 11217
1322,1947,11110 11210 3201 3101 11217
1323,1949,11210 3101 11217 3201 5210 11110 929210 901204
1324,1950,3201 5110 3101 5210
1325,1951,3201 5110 3101 5210
1326,1952,3201 5110 3101 5210
1327,1953,5110 5210
1328,1954,3201 5110 3101 5210
1329,1955,5110 5210
1330,1956,5110 5210
1331,1957,4205 4105
1332,1959,4205 4105
1333,1960,4205 4105
1334,1961,5110 5210
1335,1962,856203 936103 936203 856103
1336,1963,5110 5210
1337,1964,5110 5210
1338,1965,60108 60208 5110 5210
1339,1966,60108 13209 5110 60208 13109 5210
1340,1967,4205 4105
1341,1968,4205 961203 4105 961103
1342,1969,520112 520212
1343,1970,916102 917103
1344,1972,4205 60108 13209 955102 917104 916103 5110 917103 3201 3101 60208 13109 955202 5210 916102 4105
1345,1973,4205 961203 4105
1346,1974,4205 961203 4105 961103
1347,1975,530113 530213
1348,1976,84204 84104
1349,1977,520112 520212
1350,1978,4205 4105
1351,1981,11110 901204 929210
1352,1982,11210 901104 929110 11217
1353,1983,3101
1354,1984,3201
1355,1985,520112 520212
1356,1987,4205 4105
1357,1988,11210 901104 11217 11110 929210 901204 929110
1358,1989,11110
1359,1990,856203 856103
1360,1991,851102
1361,1992,530113 530213
1362,1994,856203 851202 856103
1363,1995,856203 851202 856103
1364,1996,851102 962204 856203 856103 936103 962104 936203 851202
1365,1997,4205 4105
1366,1999,4205 3201 4105 3101
1367,2000,4205 11210 11217 11110 11111 4105
1368,2001,4205 4105
1369,2002,4205 4105
1370,2003,4205 4105
1371,2004,4205 4105
1372,2005,4205 929210 11210 901104 11217 11110 11111 4105 901204 929110
1373,2006,4205 4105
1374,2007,530113 510219 510119 520112 520212 530213
1375,2009,520112 520212
1376,2011,3201 3101
1377,2012,520112 520212
1378,2013,11110 3201 11210 3101 11217
1379,2014,4205 4105
1380,2015,4205 4105
1381,2016,961203 961103
1382,2017,3201 3101
1383,2018,4205 13209 955102 13109 3101 3201 955202 4105
1384,2019,4205 4105
1385,2020,4205 4105
1386,2021,11110 11210 11217 11111
1387,2022,4205 955102 4105 955202
1388,2023,11110 11210 11217 11111
1389,2024,1215 1115
1390,2025,11110 11210 11217 11111
1391,2026,11110 11210 11217 11111
1392,2027,84204 84104
1393,2028,4205 11210 11217 11110 11111 4105
1394,2029,3201 5110 3101 5210
1395,2030,11110 11210 11217 11111
1396,2031,3201 3101
1397,2032,3201 3101
1398,2033,3201 3101
1399,2034,3201 3101
1400,2035,3201 3101
1401,2036,3201 3101
1402,2037,11110 11210 11217 11111
1403,2038,11110 11210 11217 11111
1404,2039,11210 11217 11110 11111 961203 961103
1405,2040,901204 901104
1406,2042,3201 3101
1407,2043,955102 936203 856203 11210 856103 955202 936103 11110 215101 215201
1408,2044,3201 955102 3101 955202
1409,2045,13209 3201 13109 3101
1410,2046,929210 929110
1411,2047,901204 901104
1412,2049,510219 510119
1413,2051,11110 11210 11217 11111
1414,2052,904101 904201
1415,2054,4205 962104 962204 11210 11217 11110 11111 4105
1416,2056,955202 11210 11217 955102 11110 11111
1417,2057,962104 962204
1418,2058,955102 11210 3101 11217 3201 955202 11110 11111
1419,2059,11210 3101 11217 3201 11110 11111
1420,2061,961203 961103
1421,2062,901204 901104 904101 904201
1422,2063,11110 11210 11217 11111
1423,2064,11110 11210 11217 11111
1424,2065,11110 11210 11217 11111
1425,2066,11110 11210 11217 11111
1426,2067,11110 11210 11217 11111
1427,2068,11110 11210 11217 11111
1428,2069,11110 11210 11217 11111
1429,2070,712105 712205 712206 712106
1430,2071,929210 929110
1431,2072,28203 28103
1432,2073,901204 901104 904101 904201
1433,2074,11210 962104 4105 962204 11217
1434,2076,967102
1435,2077,904101 904201
1436,2078,929210 929110
1437,2079,961203 961103
1438,2080,929210 929110
1439,2081,929210 929110
1440,2082,929210 929110
1441,2083,901204 901104 904101 904201
1442,2085,84204 84104
1443,2086,510219 510119
1444,2087,967102
1445,2088,962104 962204
1446,2089,929210 929110
1447,2090,13109 13209 967102
1448,2093,955102 955202
1449,2094,961203 962104 962204 961103
1450,2095,968101 967102
1451,2096,929210 929110
1452,2097,901204 901104 904101 904201
1453,2098,967102
1454,2100,967102
1455,2101,510219 510119
1456,2103,13109 968101 13209
1457,2105,929210 929110
1458,2106,968101
1459,2107,968101
1460,2108,967102 955102 955202
1461,2109,968101
1462,2110,968101
1463,2111,962104 962204
1464,2112,709104 709110 709114 709118 709204 709210 709214 709218
1465,2113,84204 84104
1466,2115,968101
1467,2117,13109 13209
1468,2118,961203 961103
1469,2119,929210 929110
1470,2120,967102 955102 968101 955202
1471,2121,962104 962204
1472,2122,968101 967102
1473,2125,13209 962104 963103 962204 13109 963203
1474,2127,929210 929110
1475,2128,962104 962204
1476,2129,962104 962204
1477,2130,11210 901104 929110 11217
1478,2132,962104 962204
1479,2134,963203 962104 963103 962204
1480,2135,955102 929210 929110 955202
1481,2136,963203 962104 963103 962204
1482,2137,955102 968101 967102 955202 929210 929110
1483,2138,955102 932204 963103 955202 962104 929210 929110 932104
1484,2139,962104 963103 962204 963203 929210 929110
1485,2140,961203 961103
1486,2141,962104 963103 962204 968101 967102 963203
1487,2142,963203 963103
1488,2143,962104 962204
1489,2144,510219 510119
1490,2145,84204 84104
1491,2146,955102 932204 963103 962204 963203 955202 962104 932104
1492,2148,13109 963203 13209 963103
1493,2151,398204 398104
1494,2153,704207 704107
1495,2154,520112 520212 510219 510119
1496,2156,13109 13209
1497,2157,929210 929110
1498,2158,13109 13209
1499,2159,968101 967102
1500,2160,961203 961103
1501,2161,13109 929210 13209 929110
1502,2162,707213 709214 707113 709114
1503,2163,963203 963103
1504,2164,13109 968101 13209 967102
1505,2167,13209 932204 968101 967102 13109 932104
1506,2168,13109 968101 13209 967102
1507,2169,961203 961103
1508,2170,929210 929110
1509,2172,27211 27111
1510,2173,961203 961104 961204 961103
1511,2174,961203 961103
1512,2175,13209 961104 961204 961203 968101 967102 13109 961103
1513,2176,932204 961104 961204 961203 932104 961103
1514,2177,510219 510119
1515,2179,961203 961104 961204 961103
1516,2180,707213 709214 707113 709114
1517,2181,705104 705204
1518,2182,707213 709214 707113 709114
1519,2184,963103 961204 961203 963203 961103 961104
1520,2185,963103 961204 961203 963203 961103 961104
1521,2186,963103 961204 961203 963203 961103 961104
1522,2187,961203 961103
1523,2188,961104 961204 961203 929210 929110 961103
1524,2189,961203 961104 961204 961103
1525,2190,705104 705204
1526,2191,14206 13109 14106 13209 18102
1527,2195,709114
1528,2196,707213 709214 707113 709114
1529,2197,707213 709214 707113 709114
1530,2198,932204 932104
1531,2199,705104 705204
1532,2200,705104 705204
1533,2201,707213 709214 707113 709114
1534,2203,705206 705104 705106 705204
1535,2205,705104 705204
1536,2207,929210 929110
1537,2209,709214 709114
1538,2210,901204 901104
1539,2213,705206 705104 705106 705204
1540,2214,707213 707113
1541,2215,705206 705104 705106 705204
1542,2216,707213 709214 707113 709114
1543,2217,929210 929110
1544,2218,705206 705104 705106 705204
1545,2220,705104 705204
1546,2221,932204 932104
1547,2222,705206 705204 705106 929210 705104 929110
1548,2223,707213 709104 709110 705204 709118 709204 709114 709210 709214 709218 707113 705104
1549,2224,705206 704107 705204 705106 704207 929210 705104 929110
1550,2225,701105 701205
1551,2228,701105 701205
1552,2229,932204 705206 704107 705204 705106 704207 705104 932104
1553,2230,701105 929210 701205 929110
1554,2232,709104 709110 709114 709118 709204 709210 709214 709218
1555,2233,709104 709110 709114 709118 709204 709210 709214 709218
1556,2234,707213 709104 709110 705204 709118 709204 709114 712105 709210 709214 709218 712206 712205 707113 705104 712106
1557,2237,704207 701105 701205 704107
1558,2240,707213 709214 707113 709114
1559,2242,510219 510119
1560,2244,932204 705206 704107 705204 705106 704207 705104 932104
1561,2245,709104 709110 709114 709118 709204 709210 709214 709218
1562,2246,709110 709114 712105 709210 709214 712205 712206 712106
1563,2247,709104 709110 709114 709118 709204 709210 709214 709218
1564,2248,932204 932104
1565,2249,929210 929110
1566,2250,709104 709110 709114 709118 709204 709214 709210 701105 709218 701205
1567,2252,709104 709110 709114 709118 709204 709210 709214 709218
1568,2253,932204 932104
1569,2254,704207 701105 701205 704107
1570,2255,709104 709110 709114 709118 709204 709214 709210 701105 709218 701205
1571,2257,709104 709110 709114 709118 709204 709210 709214 709218
1572,2258,709104 709110 709114 709118 709204 709210 709214 709218
1573,2259,709104 709110 709114 709118 709204 709210 709214 709218
1574,2262,932204 932104
1575,2263,709104 709110 709114 709118 709204 709210 709214 709218 929210 929110
1576,2264,701105 701205
1577,2266,31212 31112
1578,2267,709104 709110 704107 709114 709118 709204 709214 709210 701105 709218 704207 701205
1579,2270,709104 709110 709114 709118 709204 709214 709210 701105 709218 701205
1580,2271,709110 709114 712105 709210 709214 712205
1581,2272,709210 709214 709110 709114
1582,2273,707213 709214 707113 709114
1583,2274,709104 709110 709114 709118 709204 709214 709210 701105 709218 932204 701205 932104
1584,2275,929210 929110
1585,2276,701105 701205
1586,2280,510219 510119
1587,2282,901204 901104
1588,2284,704207 704107
1589,2285,709104 709110 709114 709118 709204 709214 709210 701105 709218 701205
1590,2288,704207 704107
1591,2289,932204 932104
1592,2290,929210 929110
1593,2291,707213 709110 709114 709210 709214 707113
1594,2293,704207 704107
1595,2296,705206 704107 705204 705106 704207 705104
1596,2297,304108 309115 304208 309215
1597,2298,704207 704107
1598,2300,929210 929110
1599,2301,701105 701205
1600,2302,712105 712205
1601,2304,704207 704107
1602,2305,704207 704107
1603,2306,704207 704107
1604,2308,704207 704107
1605,2309,712105 712205
1606,2310,932204 932104
1607,2312,929210 929110
1608,2316,704207 704107
1609,2319,712105 712205
1610,2320,704207 704107
1611,2321,929210 929110
1612,2324,704207 701105 701205 704107
1613,2326,398204 398104
1614,2327,704207 704107
1615,2330,704107 712106 712105 704207 712206 712205
1616,2331,704207 704107
1617,2333,704107 712106 712105 704207 712206 712205
1618,2334,932204 932104
1619,2335,704207 929210 929110 704107
1620,2336,712105 712205 712206 712106
1621,2338,832103
1622,2339,929210 929110
1623,2341,712106 712105 701105 712205 701205 712206
1624,2344,704207 704107
1625,2345,712105 712205 712206 712106
1626,2346,932204 932104
1627,2347,712106 712105 712206 929210 929110 712205
1628,2351,712105 712205 712206 712106
1629,2353,704207 704107
1630,2354,701105 701205
1631,2357,932104 704107 712105 701105 704207 932204 712205 712206 701205 712106
1632,2358,704109 704107 712105 701105 704207 712205 712206 701205 712106
1633,2359,510219 510119
1634,2362,704207 704107
1635,2363,704207 929210 929110 704107
1636,2364,704207 704107
1637,2365,704207 704107
1638,2366,704207 704107
1639,2368,704207 704107
1640,2369,704207 701105 701205 704107
1641,2370,701105 932204 701205 932104
1642,2371,701105 701205
1643,2372,3201 3101
1644,2373,932204 932104
1645,2374,932204 932104
1646,2375,701105 701205
1647,2376,701105 929210 701205 929110
1648,2377,704207 704107
1649,2378,704207 704107
1650,2379,701105 701205
1651,2380,704207 704107
1652,2381,701105 701205
1653,2388,530113 530213
1654,2391,901204 901104
1655,2392,510219 510119
1656,2395,901204 901104 933104 934104
1657,2396,905119
1658,2397,933104 934104
1659,2398,933104 934104
1660,2399,933104 934104
1661,2400,933104 934104
1662,2401,979102 978103
1663,2402,933104 934104 932204 932104
1664,2403,933104 934104
1665,2404,933104 934104
1666,2405,933104 929210 929110 934104
1667,2407,933104 934104
1668,2408,933104 934104
1669,2410,933104 934104
1670,2413,933104 934104
1671,2414,933104 934104
1672,2415,929210 929110
1673,2416,933104 934104
1674,2417,933104 934104
1675,2418,901204 901104 933104 934104
1676,2419,901204 901104 933104 934104
1677,2420,901204 901104
1678,2421,901204 901104 933104 934104
1679,2422,901204 901104 933104 934104
1680,2423,932204 901204 901104 932104
1681,2424,932204 901204 901104 932104
1682,2425,932204 932104
1683,2426,8106 8206 9209 9109
1684,2429,932204 933104 932104 929210 929110 934104
1685,2430,933104 934104
1686,2431,933104 929210 929110 934104
1687,2432,933104 929210 929110 934104
1688,2437,933104 934104
1689,2438,950102 932204 905118 901204 901104 905218 907102 950202 905119 934104 905219 932104 929210 933104 929110 906104
1690,2439,510219 510119
1691,2441,933104 934104
1692,2442,933104 934104
1693,2443,901204 901104 933104 934104
1694,2444,950102 932204 905118 933104 905218 907102 905119 934104 905219 932104 929210 950202 929110 906104
1695,2445,905119 905118 905219 905218
1696,2446,905119 905118 905219 905218
1697,2447,905118 905218
1698,2448,905119 905118 905219 905218
1699,2449,905119 905219
1700,2450,905119
1701,2452,907102 906104
1702,2453,31212 979102 31112
1703,2454,933104 934104
1704,2455,905118 905218
1705,2456,933104 934104
1706,2457,905118 905218
1707,2458,907102 906104
1708,2459,907102 906104
1709,2462,905118 905218
1710,2463,905119
1711,2464,907102 906104
1712,2465,907102 906104
1713,2466,510219 510119
1714,2467,907102 906104
1715,2469,905118 905218
1716,2470,907102 906104
1717,2474,905118 905218
1718,2475,905118 905218
1719,2476,907102 906104
1720,2477,950102 905218 905119 950202 905219 905118
1721,2478,395106 392204 395206
1722,2479,907102 906104
1723,2480,907102 906104
1724,2481,907102 906104
1725,2483,907102 906104
1726,2484,907102 906104
1727,2485,510219 510119
1728,2486,907102 906104
1729,2489,120216 7211 235201 7210 110101 2214 215101 992109 30211 3201 290201 923204 7111 2114 120212 288201 901104 215201 235101 7212 7110 923104 110201 7112 901204 50211 50111 30111
1730,2491,972103 973103
1731,2497,928104 928204
1732,2498,933104 934104
